DSAC
Консоль:
Ep 1230 | Reward:   134.0 | Avg100:    40.4 | Best:   169.8 | Steps: 1000 | Loss: 0.4386
Ep 1240 | Reward:     4.5 | Avg100:    44.6 | Best:   169.8 | Steps: 141 | Loss: -0.4470
Ep 1250 | Reward:    91.2 | Avg100:    45.1 | Best:   169.8 | Steps: 1000 | Loss: 0.2919
Ep 1260 | Reward:    30.4 | Avg100:    45.8 | Best:   169.8 | Steps: 175 | Loss: -0.5407
Ep 1270 | Reward:   127.1 | Avg100:    43.6 | Best:   169.8 | Steps: 1000 | Loss: 0.1893
Ep 1280 | Reward:    34.4 | Avg100:    47.8 | Best:   169.8 | Steps: 157 | Loss: -0.4039
Ep 1290 | Reward:    -1.3 | Avg100:    48.1 | Best:   169.8 | Steps: 147 | Loss: -0.4006
Ep 1300 | Reward:     0.9 | Avg100:    49.2 | Best:   169.8 | Steps: 178 | Loss: -0.4308
Ep 1310 | Reward:  -166.9 | Avg100:    48.0 | Best:   169.8 | Steps: 230 | Loss: -0.1991
Ep 1320 | Reward:   132.3 | Avg100:    51.2 | Best:   169.8 | Steps: 1000 | Loss: 0.3722
Ep 1330 | Reward:   131.1 | Avg100:    58.8 | Best:   169.8 | Steps: 1000 | Loss: 0.0951
Ep 1340 | Reward:   167.7 | Avg100:    59.2 | Best:   169.8 | Steps: 1000 | Loss: 0.1745
Ep 1350 | Reward:    85.6 | Avg100:    53.2 | Best:   169.8 | Steps: 1000 | Loss: 0.1144
Ep 1360 | Reward:   138.4 | Avg100:    57.9 | Best:   169.8 | Steps: 1000 | Loss: 0.0901
Ep 1370 | Reward:   181.7 | Avg100:    61.6 | Best:   181.7 | Steps: 1000 | Loss: 0.1579
Ep 1380 | Reward:    -1.0 | Avg100:    57.6 | Best:   181.7 | Steps: 134 | Loss: -0.3361
Ep 1390 | Reward:   -24.0 | Avg100:    58.8 | Best:   181.7 | Steps:  80 | Loss: -0.0180
Ep 1400 | Reward:    47.4 | Avg100:    55.8 | Best:   181.7 | Steps: 126 | Loss: -0.2859
Ep 1410 | Reward:    39.0 | Avg100:    54.5 | Best:   181.7 | Steps: 103 | Loss: -0.0071
Ep 1420 | Reward:   117.8 | Avg100:    55.0 | Best:   181.7 | Steps: 1000 | Loss: 1.1489
Ep 1430 | Reward:   149.5 | Avg100:    52.3 | Best:   181.7 | Steps: 1000 | Loss: 0.4582
Ep 1440 | Reward:    -6.9 | Avg100:    41.1 | Best:   181.7 | Steps: 1000 | Loss: 0.2794
Ep 1450 | Reward:   104.6 | Avg100:    40.4 | Best:   181.7 | Steps: 1000 | Loss: 0.2387
